analysis_profile,target_corpus,mapping_status,mapping_confidence,count
critical_core,greek,excluded_by_profile,profile_excluded,639
critical_core,greek,mapped_partial,partial_provisional,145
critical_core,greek,mapped_provisional,provisional_mechanical,241190
critical_core,greek,unresolved_missing_target,unresolved,69
critical_core,greek,unresolved_reference,unresolved,8
critical_core,hebrew,mapped_partial,partial_provisional,248
critical_core,hebrew,mapped_provisional,provisional_mechanical,444480
critical_core,hebrew,unresolved_missing_target,unresolved,2809
critical_core,hebrew,unresolved_reference,unresolved,10
edition_complete,greek,mapped_partial,partial_provisional,140
edition_complete,greek,mapped_provisional,provisional_mechanical,241834
edition_complete,greek,unresolved_missing_target,unresolved,69
edition_complete,greek,unresolved_reference,unresolved,8
edition_complete,hebrew,mapped_partial,partial_provisional,248
edition_complete,hebrew,mapped_provisional,provisional_mechanical,444480
edition_complete,hebrew,unresolved_missing_target,unresolved,2809
edition_complete,hebrew,unresolved_reference,unresolved,10
