split_strategy,partition,eligibility_status,exclusion_reason,count
held_out_book,development,eligible,,137
held_out_book,excluded,excluded,leakage_group_partition_conflict:overlapping_endpoint_range,304068
held_out_book,excluded,excluded,mapping_ineligible,2873
held_out_book,test,eligible,,34859
held_out_book,train,eligible,,2862
held_out_book_pair,excluded,excluded,leakage_group_partition_conflict:overlapping_target_passage,335896
held_out_book_pair,excluded,excluded,mapping_ineligible,2873
held_out_book_pair,train,eligible,,6030
held_out_genre,excluded,excluded,leakage_group_partition_conflict:overlapping_target_passage,301214
held_out_genre,excluded,excluded,mapping_ineligible,2873
held_out_genre,test,eligible,,32297
held_out_genre,train,eligible,,8415
held_out_relationship_family,excluded,excluded,relationship_family_unavailable,344799
held_out_source_passage,development,eligible,,2375
held_out_source_passage,excluded,excluded,endpoint_partition_conflict,86808
held_out_source_passage,excluded,excluded,mapping_ineligible,2873
held_out_source_passage,excluded,excluded,range_overlap_guard,87541
held_out_source_passage,test,eligible,,2607
held_out_source_passage,train,eligible,,162595
